Days,ALUA,BBAR,BYMA,CEPU,COME,CRES,CVH,EDN,GGAL,HARG,MIRG,PAMP,SUPV,TECO2,TGNO4,TGSU2,TRAN,TXAR,YssD,AGRO,AUSO,BHIP,BOLT,BPAT,CADO,CELU,CGPA2,DGCU2,DYCA,FERR,FIPL,GARO,GBAN,GCLA,GRIM,HAVA,INVJ,IRCP,IRSA,LEDE,LONG,METR,MOLA,MOLI,MORI,OEST,PATA,POLL,RIGO,SAMI,SEMI,TGLT
2012-01-03,1.83,7.83,0.0,1.88,0.56,4.72,0.0,1.4,3.02,3.93,19.87,1.92,0.0,13.37,0.83,2.18,1.09,1.34,0.0,1.16,1.41,1.4,0.95,2.36,1.97,3.8,1.05,1.93,5.79,0.37,1.29,1.06,2.77,1.89,1.68,0.0,1.64,14.3,3.67,6.29,0.51,0.68,0.0,23.09,2.14,1.01,2.36,3.33,9.88,4.74,1.01,11.2
2012-01-04,2.06,8.64,0.0,1.92,0.56,4.85,0.0,1.5,3.35,3.81,19.87,2.07,0.0,14.02,0.88,2.24,1.14,1.42,0.0,1.15,1.41,1.51,1.0,2.47,2.0,4.05,1.07,1.93,5.79,0.38,1.31,1.08,2.77,1.94,1.71,0.0,1.7,14.3,3.68,6.26,0.51,0.73,0.0,23.33,2.21,1.01,2.36,3.33,9.88,4.64,1.01,11.3
2012-01-05,2.1,8.92,0.0,1.96,0.56,4.81,0.0,1.52,3.38,3.72,20.65,2.07,0.0,13.98,0.92,2.31,1.15,1.41,0.0,1.13,1.42,1.52,0.98,2.5,2.0,4.22,1.1,1.93,5.79,0.41,1.34,1.08,2.77,1.99,1.71,0.0,1.7,14.3,3.67,6.04,0.53,0.69,0.0,23.33,1.99,1.07,2.36,3.66,9.88,4.47,1.05,11.3
2012-01-06,2.1,9.36,0.0,1.96,0.56,4.81,0.0,1.65,3.51,3.64,21.59,2.11,0.0,14.1,0.95,2.32,1.21,1.49,0.0,1.16,1.47,1.58,0.97,2.5,2.0,4.33,1.13,1.93,5.79,0.42,1.34,1.08,2.77,2.09,1.87,0.0,1.72,14.3,3.71,5.93,0.53,0.83,0.0,24.13,2.1,1.07,2.36,3.7,9.88,4.64,1.05,11.3
2012-01-09,2.07,9.35,0.0,1.96,0.55,4.72,0.0,1.65,3.51,3.59,21.73,2.15,0.0,13.94,0.94,2.32,1.2,1.49,0.0,1.15,1.47,1.6,0.93,2.58,2.06,4.27,1.15,1.93,5.84,0.43,1.34,1.08,2.77,2.1,1.87,0.0,1.72,13.43,3.65,5.91,0.54,0.9,0.0,23.89,1.96,1.07,2.36,3.9,9.88,4.72,1.05,11.3
2012-01-10,2.08,9.44,0.0,1.96,0.56,4.72,0.0,1.62,3.58,3.55,21.78,2.14,0.0,14.56,0.93,2.32,1.17,1.49,0.0,1.19,1.42,1.66,0.9,2.62,2.08,4.25,1.15,1.93,5.92,0.41,1.34,1.09,2.77,2.1,1.87,0.0,1.72,13.43,3.59,5.78,0.53,0.85,0.0,23.81,1.96,1.07,2.36,3.9,10.03,4.8,1.05,11.3
2012-01-11,2.13,9.58,0.0,1.96,0.55,4.66,0.0,1.55,3.52,3.59,21.87,2.07,0.0,14.56,0.91,2.29,1.16,1.48,0.0,1.21,1.52,1.63,0.88,2.61,2.13,4.38,1.15,1.93,5.92,0.41,1.31,1.1,2.77,2.1,1.87,0.0,1.69,13.51,3.63,5.83,0.51,0.87,0.0,23.17,1.96,1.07,2.36,3.7,10.03,4.8,1.03,11.3
2012-01-12,2.06,9.3,0.0,2.04,0.55,4.68,0.0,1.57,3.47,3.59,22.53,2.12,0.0,15.05,0.91,2.29,1.17,1.49,0.0,1.19,1.58,1.6,0.9,2.65,2.13,4.4,1.13,1.93,5.93,0.41,1.31,1.11,2.77,2.1,1.87,0.0,1.66,13.51,3.71,5.8,0.53,0.8,0.0,22.93,1.96,1.08,2.36,3.9,10.03,4.87,1.03,11.3
2012-01-13,2.04,8.93,0.0,2.02,0.54,4.76,0.0,1.53,3.37,3.51,22.22,2.09,0.0,14.59,0.88,2.25,1.16,1.44,0.0,1.19,1.58,1.56,0.91,2.61,2.13,4.3,1.13,1.97,5.93,0.41,1.29,1.07,2.77,2.14,1.87,0.0,1.66,13.51,3.67,5.74,0.53,0.88,0.0,22.3,1.96,1.08,2.36,3.7,10.03,4.85,1.01,11.3
2012-01-16,2.09,8.82,0.0,1.99,0.54,4.76,0.0,1.56,3.41,3.51,22.37,2.09,0.0,14.4,0.88,2.25,1.16,1.43,0.0,1.19,1.58,1.55,0.91,2.64,2.13,4.3,1.13,1.97,6.21,0.41,1.31,1.04,2.77,2.14,1.82,0.0,1.68,13.51,3.51,5.78,0.51,0.9,0.0,22.54,2.14,1.08,2.4,3.7,10.03,4.85,1.05,11.3
