Days,ALUA,BBAR,BYMA,CEPU,COME,CRES,CVH,EDN,GGAL,HARG,MIRG,PAMP,SUPV,TECO2,TGNO4,TGSU2,TRAN,TXAR,YPFD,AGRO,AUSO,BHIP,BOLT,BPAT,CADO,CELU,CGPA2,DGCU2,DYCA,FERR,FIPL,GARO,GBAN,GCLA,GRIM,HAVA,INVJ,IRCP,IRSA,LEDE,LONG,METR,MOLA,MOLI,MORI,OEST,PATA,POLL,RIGO,SAMI,SEMI,TGLT
2020-01-02,32.0,139.0,316.5,34.65,2.26,50.5,323.5,22.7,123.0,97.0,765.5,48.25,55.05,163.9,40.55,105.9,25.35,25.2,837.85,9.75,75.6,14.1,3.9,41.4,20.4,24.95,23.5,24.5,59.5,7.49,4.96,8.39,33.45,33.0,30.0,145.0,10.7,287.5,50.5,17.45,6.0,16.2,351.0,60.8,4.5,29.55,25.5,9.25,57.0,116.0,3.18,5.3
2020-01-03,30.2,134.55,314.5,32.4,2.17,49.65,319.0,21.75,120.8,95.9,782.0,48.45,54.4,163.45,39.85,105.8,24.95,24.05,841.6,9.65,74.4,13.75,3.79,40.0,20.7,24.95,23.55,23.8,61.0,7.1,4.96,8.35,33.45,32.6,30.0,144.0,10.6,282.0,48.3,17.65,5.72,16.1,348.0,60.5,4.47,29.5,25.5,9.5,55.0,114.0,3.1,5.75
2020-01-06,30.9,140.85,310.0,33.95,2.25,50.65,324.5,22.95,124.9,95.1,809.0,48.4,56.4,167.7,40.95,107.5,26.05,24.5,860.8,9.85,73.4,13.8,3.88,41.85,21.4,25.0,23.0,23.5,61.0,7.0,4.96,8.5,,31.0,32.3,142.5,10.7,271.0,48.15,17.7,5.5,16.5,345.0,59.5,4.4,29.15,26.0,9.5,54.5,113.0,3.09,5.55
2020-01-07,30.7,142.2,310.0,33.65,2.2,51.9,312.5,22.75,124.0,95.9,818.0,47.55,54.4,168.15,41.65,108.15,26.5,24.6,837.9,9.9,74.9,13.45,3.88,41.45,22.0,25.8,23.6,23.4,61.0,7.0,,8.44,32.2,32.0,32.3,140.0,10.7,270.0,48.5,17.95,5.6,16.55,344.0,57.5,4.55,29.4,27.45,,57.0,111.0,3.04,5.3
2020-01-08,30.7,142.2,310.0,33.65,2.2,51.9,312.5,22.75,124.0,95.9,818.0,47.55,54.4,168.15,41.65,108.15,26.5,24.6,837.9,9.9,74.9,13.45,3.88,41.45,22.0,25.8,23.6,23.4,61.0,7.0,4.96,8.44,32.2,32.0,32.3,140.0,10.7,270.0,48.5,17.95,5.6,16.55,344.0,57.5,4.55,29.4,27.45,,57.0,111.0,3.04,5.3
2020-01-09,29.45,150.6,302.5,35.1,2.22,49.55,320.0,22.95,130.35,93.1,822.0,48.2,57.45,171.8,41.6,109.6,26.5,24.1,853.95,9.8,72.0,13.0,3.85,43.3,22.0,27.9,22.8,23.0,61.0,6.9,4.6,8.39,32.2,33.0,33.0,133.0,10.6,269.0,50.15,17.9,5.51,16.8,343.0,59.0,5.7,29.0,31.0,9.5,61.0,109.0,3.35,5.17
2020-01-10,29.15,156.5,304.0,35.5,2.36,51.45,357.0,23.45,133.95,93.0,870.0,48.35,59.7,175.0,43.15,112.1,26.1,24.05,858.05,9.85,72.0,13.2,3.8,45.7,22.4,29.8,23.6,24.5,59.2,6.8,4.5,8.2,32.0,33.5,32.0,129.0,10.3,269.0,51.1,20.0,5.5,16.75,345.0,63.6,6.0,28.95,34.0,,64.0,110.25,3.36,5.55
2020-01-13,29.0,152.75,300.0,35.1,2.48,53.0,378.0,23.6,127.25,94.5,906.0,47.5,57.35,179.2,44.4,110.5,26.15,23.1,852.65,10.95,73.8,13.2,3.79,47.0,23.5,29.5,23.5,24.9,59.0,6.95,4.95,8.1,32.0,33.5,32.0,125.0,10.7,265.0,52.45,21.95,5.58,16.9,354.0,69.0,6.7,29.0,43.0,9.5,68.0,112.0,3.65,5.79
2020-01-14,31.4,148.15,292.5,33.75,2.49,50.65,376.0,23.15,125.65,94.9,946.5,46.05,55.45,184.2,43.55,105.65,25.05,24.4,852.85,12.15,72.0,12.75,3.81,47.0,24.0,28.7,22.5,23.75,61.1,6.95,5.0,8.0,32.0,33.6,32.0,124.0,10.95,265.0,50.75,21.4,5.7,16.7,371.0,73.4,7.8,28.8,44.55,9.1,69.7,117.0,3.96,6.54
2020-01-15,32.7,140.65,290.0,32.3,2.54,51.75,396.5,22.85,122.15,95.8,964.5,46.4,53.1,179.95,43.5,106.5,25.35,24.95,855.8,12.95,72.5,12.65,4.61,46.5,24.75,28.5,23.15,23.3,62.0,7.0,5.0,8.09,32.0,34.0,33.1,120.0,11.75,265.0,50.3,20.8,6.5,16.45,393.0,78.1,7.35,28.8,37.5,9.0,66.0,115.0,4.08,7.3
